"Timestamp","If you wanted to approximate your degree of agreement with approach 1 (difference-denying feminism) by picking a number from 1 to 10, what number would you pick?","If you wanted to approximate your degree of agreement with approach 2 (difference-removing feminism) by picking a number from 1 to 10, what number would you pick?","If you wanted to approximate your degree of agreement with approach 3 (difference-honoring feminism) by picking a number from 1 to 10, what number would you pick?","Which of these three approaches do you think has had the most cultural and political impact in the past few decades (""most"" in terms of magnitude, not quality, that is, we don't mean ""best"", just magnitude)?","Are you or have been a mother?","What is your age?","What is your gender? (optional)","What is your occupation?"
"2023/05/02 4:34:19 PM AST","2","2","6","Difference-honoring feminism","No","22","Male","Student"
"2023/05/02 4:34:43 PM AST","5","2","9","Difference-honoring feminism","No","22","Female","Server"
"2023/05/02 4:42:49 PM AST","5","2","6","Difference-denying feminism","No","21","Male","Student"
"2023/05/02 4:55:49 PM AST","2","8","7","Difference-honoring feminism","No","21","Female","Dental Assistant"
"2023/05/02 4:56:55 PM AST","5","4","8","Difference-removing feminism","No","22","Male","Student "
"2023/05/02 5:04:46 PM AST","3","4","8","Difference-honoring feminism","No","20","","student"
"2023/05/02 5:15:39 PM AST","7","7","8","Difference-honoring feminism","No","21","","Student"
"2023/05/02 5:33:53 PM AST","4","3","7","Difference-honoring feminism","No","21","Male","Student"
"2023/05/02 8:44:48 PM AST","1","1","10","Difference-honoring feminism","No","19","Female","Student"
"2023/05/02 8:49:40 PM AST","3","4","7","Difference-honoring feminism","No","20","","Student"
